class,n_test,sensitivity,specificity,precision,f1,auc
no_tumor,15,0.9333333333333333,0.8695652173913043,0.8235294117647058,0.8749999999999999,0.9884057971014493
tumor,23,0.8695652173913043,0.9333333333333333,0.9523809523809523,0.909090909090909,0.9884057971014493
