class,n_test,sensitivity,specificity,precision,f1,auc
adenocarcinoma,100,0.87,0.9076923076923077,0.8285714285714286,0.848780487804878,0.9431282051282052
large.cell.carcinoma,51,0.8627450980392157,0.9590163934426229,0.8148148148148148,0.838095238095238,0.9671327547412408
normal,54,0.9814814814814815,1.0,1.0,0.9906542056074767,0.9998463193483941
squamous.cell.carcinoma,90,0.8333333333333334,0.9609756097560975,0.9036144578313253,0.8670520231213873,0.9760433604336044
