model,input_data,native,n,mean_confidence,confident_rate,silent_failure_rate,malignant_confident_rate
brain,brain,True,38,0.8198972940444946,0.47368421052631576,,0.2631578947368421
brain,lung,False,295,0.875718355178833,0.559322033898305,0.559322033898305,0.559322033898305
brain,skin,False,300,0.7566856145858765,0.14666666666666667,0.14666666666666667,0.14666666666666667
lung,brain,False,38,0.6239405870437622,0.05263157894736842,0.05263157894736842,0.05263157894736842
lung,lung,True,295,0.8011876344680786,0.43050847457627117,,0.2576271186440678
lung,skin,False,300,0.46857279539108276,0.0,0.0,0.0
skin,brain,False,38,0.615515947341919,0.02631578947368421,0.0,0.0
skin,lung,False,295,0.5281271934509277,0.020338983050847456,0.0,0.0
skin,skin,True,300,0.8445940017700195,0.5766666666666667,,0.09
