alpha,threshold,cal_misses,cal_positives,guaranteed_miss_rate,workload_reduction,test_miss_rate,test_sensitivity,feasible
0.01,0.0,0,15,0.18103627252208462,0.0,0.0,1.0,False
0.02,0.0,0,15,0.18103627252208462,0.0,0.0,1.0,False
0.05,0.0,0,15,0.18103627252208462,0.0,0.0,1.0,False
0.1,0.0,0,15,0.18103627252208462,0.0,0.0,1.0,False
0.15,0.0,0,15,0.18103627252208462,0.0,0.0,1.0,False
0.2,0.0,0,15,0.18103627252208462,0.0,0.0,1.0,False
0.3,0.2554168701171875,1,15,0.2793961936128765,0.3157894736842105,0.0,1.0,True
