alpha,threshold,cal_misses,cal_positives,guaranteed_miss_rate,workload_reduction,test_miss_rate,test_sensitivity,feasible
0.01,0.0,0,262,0.011368971845228792,0.0,0.0,1.0,False
0.02,0.004329836927354336,1,262,0.01797750042571497,0.020600353148911125,0.0,1.0,True
0.05,0.03380190208554268,7,262,0.04959591036570026,0.3825779870512066,0.02570694087403599,0.974293059125964,True
0.1,0.11344319581985474,17,262,0.09573973677552901,0.5662154208357858,0.07969151670951156,0.9203084832904884,True
0.15,0.18663674592971802,29,262,0.1478428707359744,0.6280164802825191,0.12596401028277635,0.8740359897172236,True
0.2,0.25457456707954407,41,262,0.19820548800398063,0.6615656268393173,0.15424164524421594,0.8457583547557841,True
0.3,0.4246630072593689,66,262,0.29991152320023406,0.7180694526191878,0.2133676092544987,0.7866323907455013,True
