alpha,threshold,cal_misses,cal_positives,guaranteed_miss_rate,workload_reduction,test_miss_rate,test_sensitivity,feasible
0.01,0.0,0,41,0.07046111727016405,0.0,0.0,1.0,False
0.02,0.0,0,41,0.07046111727016405,0.0,0.0,1.0,False
0.05,0.0,0,41,0.07046111727016405,0.0,0.0,1.0,False
0.1,0.0,0,41,0.07046111727016405,0.0,0.0,1.0,False
0.15,0.9556018114089966,2,41,0.14570550339142993,0.4440677966101695,0.31950207468879666,0.6804979253112033,True
0.2,0.9583973288536072,3,41,0.17839535553925906,0.45084745762711864,0.3278008298755187,0.6721991701244814,True
0.3,0.9770544171333313,7,41,0.2968880055386386,0.6440677966101694,0.5643153526970954,0.43568464730290457,True
