model,msp_auroc,mean_conf_native,mean_conf_foreign
brain,0.5290137107474568,0.8198972940444946,0.8157018423080444
lung,0.9105606258148631,0.8011876344680786,0.4860402047634125
skin,0.8917417417417418,0.8445940017700195,0.538099467754364
