task,temperature,ece_raw,ece_cal,cal_positives,positives_needed,feasible,threshold,guaranteed_miss_rate,test_miss_rate,workload_reduction,ks_p,shift_detected
brain,0.7259494066238403,0.130761875918037,0.13724069258100108,15,59,False,0.0,0.18103627252208462,0.0,0.0,0.8765700036395819,False
lung,1.0605669021606445,0.03868000609642368,0.04338588188007726,41,59,False,0.0,0.07046111727016405,0.0,0.0,5.2598983426174527e-05,True
skin,1.0755188465118408,0.049700874398918,0.04366494768714119,262,59,True,0.03380190208554268,0.04959591036570026,0.02570694087403599,0.3825779870512066,0.5136799931747967,False
