class,n_test,sensitivity,specificity,precision,f1,auc
actinic_keratoses,67,0.6268656716417911,0.9865196078431373,0.65625,0.6412213740458016,0.9679817822651449
basal_cell_carcinoma,91,0.7252747252747253,0.9732587064676617,0.6055045871559633,0.66,0.9630556011153026
benign_keratosis-like_lesions,204,0.696078431372549,0.9638795986622074,0.7244897959183674,0.71,0.9579546199750802
dermatofibroma,18,0.5,1.0,1.0,0.6666666666666666,0.98995307026241
melanocytic_Nevi,1058,0.8799621928166351,0.8673946957878315,0.9163385826771654,0.8977820636451301,0.9455039827301979
melanoma,231,0.6363636363636364,0.917574931880109,0.5485074626865671,0.5891783567134269,0.9097219764794697
vascular_lesions,30,1.0,0.9958058717795086,0.8108108108108109,0.8955223880597014,0.9999400838825644
